hospitalid,num_of_cases_without_readm,num_of_cases_readmission,all_cases,perc
273,111,23,134,17.16
414,31,6,37,16.22
212,14,2,16,12.5
350,45,5,50,10
131,97,9,106,8.49
356,54,5,59,8.47
351,12,1,13,7.69
195,969,80,1049,7.63
141,1186,95,1281,7.42
400,1227,98,1325,7.4
197,1447,115,1562,7.36
269,607,47,654,7.19
459,500,38,538,7.06
413,1874,142,2016,7.04
443,2914,213,3127,6.81
79,1072,78,1150,6.78
208,2761,199,2960,6.72
198,544,39,583,6.69
392,605,43,648,6.64
283,1662,117,1779,6.58
268,498,35,533,6.57
386,441,30,471,6.37
403,974,66,1040,6.35
188,1787,119,1906,6.24
452,750,49,799,6.13
429,264,17,281,6.05
253,394,25,419,5.97
383,433,27,460,5.87
262,163,10,173,5.78
280,874,52,926,5.62
271,822,48,870,5.52
365,1356,78,1434,5.44
435,1251,72,1323,5.44
391,819,47,866,5.43
143,612,35,647,5.41
447,35,2,37,5.41
252,2713,155,2868,5.4
181,786,44,830,5.3
202,791,44,835,5.27
401,36,2,38,5.26
275,508,28,536,5.22
184,692,38,730,5.21
353,604,33,637,5.18
352,55,3,58,5.17
122,2465,134,2599,5.16
337,463,25,488,5.12
183,1361,73,1434,5.09
73,5194,278,5472,5.08
428,224,12,236,5.08
412,268,14,282,4.96
411,1458,74,1532,4.83
416,1675,85,1760,4.83
142,1245,63,1308,4.82
387,478,24,502,4.78
382,1045,52,1097,4.74
71,726,36,762,4.72
420,3369,164,3533,4.64
204,146,7,153,4.58
144,700,33,733,4.5
338,2877,132,3009,4.39
227,1199,55,1254,4.39
303,131,6,137,4.38
277,1268,58,1326,4.37
449,1859,85,1944,4.37
318,1098,50,1148,4.36
402,351,16,367,4.36
92,528,24,552,4.35
384,861,39,900,4.33
439,311,14,325,4.31
444,1207,54,1261,4.28
458,3065,137,3202,4.28
85,45,2,47,4.26
264,4314,191,4505,4.24
209,92,4,96,4.17
405,327,14,341,4.11
404,351,15,366,4.1
312,526,22,548,4.01
281,2066,86,2152,4
217,1013,42,1055,3.98
140,462,19,481,3.95
256,685,28,713,3.93
445,293,12,305,3.93
381,196,8,204,3.92
388,857,35,892,3.92
215,593,24,617,3.89
358,324,13,337,3.86
355,76,3,79,3.8
360,253,10,263,3.8
180,330,13,343,3.79
436,280,11,291,3.78
254,408,16,424,3.77
407,568,22,590,3.73
83,54,2,56,3.57
364,298,11,309,3.56
390,1003,37,1040,3.56
434,334,12,346,3.47
272,985,35,1020,3.43
259,509,18,527,3.42
248,1500,52,1552,3.35
63,1077,37,1114,3.32
206,801,27,828,3.26
336,542,18,560,3.21
421,523,17,540,3.15
417,1605,52,1657,3.14
199,2050,65,2115,3.07
397,412,13,425,3.06
108,322,10,332,3.01
394,1705,53,1758,3.01
396,518,16,534,3
220,657,20,677,2.95
437,66,2,68,2.94
244,1041,31,1072,2.89
258,310,9,319,2.82
224,451,13,464,2.8
68,455,13,468,2.78
196,318,9,327,2.75
440,1180,33,1213,2.72
357,693,19,712,2.67
438,182,5,187,2.67
249,328,9,337,2.67
307,999,27,1026,2.63
389,409,11,420,2.62
200,379,10,389,2.57
58,230,6,236,2.54
345,653,17,670,2.54
194,347,9,356,2.53
301,904,23,927,2.48
393,118,3,121,2.48
282,789,20,809,2.47
176,2299,57,2356,2.42
226,878,21,899,2.34
210,461,11,472,2.33
243,2400,57,2457,2.32
201,129,3,132,2.27
419,444,10,454,2.2
112,319,7,326,2.15
154,1015,22,1037,2.12
398,279,6,285,2.11
60,280,6,286,2.1
120,94,2,96,2.08
279,674,14,688,2.03
251,292,6,298,2.01
110,1545,31,1576,1.97
165,1614,32,1646,1.94
423,202,4,206,1.94
93,52,1,53,1.89
67,314,6,320,1.88
66,737,14,751,1.86
125,216,4,220,1.82
164,115,2,117,1.71
263,58,1,59,1.69
399,235,4,239,1.67
148,1602,26,1628,1.6
245,577,9,586,1.54
59,528,8,536,1.49
408,198,3,201,1.49
433,133,2,135,1.48
152,1079,16,1095,1.46
363,68,1,69,1.45
246,207,3,210,1.43
342,217,3,220,1.36
69,455,6,461,1.3
424,385,5,390,1.28
267,237,3,240,1.25
95,240,3,243,1.23
331,586,7,593,1.18
167,3117,36,3153,1.14
425,272,3,275,1.09
300,1619,16,1635,0.98
250,211,2,213,0.94
422,322,3,325,0.92
328,217,2,219,0.91
266,222,2,224,0.89
56,223,2,225,0.89
157,1082,9,1091,0.82
171,1289,10,1299,0.77
123,140,1,141,0.71
138,165,1,166,0.6
310,179,1,180,0.56
158,204,1,205,0.49
133,217,1,218,0.46
146,693,3,696,0.43
265,15,0,15,0
61,168,0,168,0
323,10,0,10,0
84,41,0,41,0
86,14,0,14,0
90,14,0,14,0
91,14,0,14,0
94,9,0,9,0
96,21,0,21,0
102,30,0,30,0
361,11,0,11,0
115,51,0,51,0
135,14,0,14,0
155,251,0,251,0
156,15,0,15,0
174,76,0,76,0
175,383,0,383,0
179,5,0,5,0
182,284,0,284,0
203,124,0,124,0
205,109,0,109,0
207,206,0,206,0
385,3,0,3,0
136,3,0,3,0
151,1,0,1,0
409,12,0,12,0
